DATE,IURNSA
2014-07-01,1.9000000000000000
2014-08-01,1.8000000000000000
2014-09-01,1.5750000000000000
2014-10-01,1.5250000000000000
2014-11-01,1.6800000000000000
2014-12-01,1.9000000000000000
2015-01-01,2.1400000000000000
2015-02-01,2.1000000000000000
2015-03-01,1.9500000000000000
2015-04-01,1.7250000000000000
2015-05-01,1.5800000000000000
2015-06-01,1.5750000000000000
2015-07-01,1.6750000000000000
2015-08-01,1.5800000000000000
2015-09-01,1.4000000000000000
2015-10-01,1.3600000000000000
2015-11-01,1.5000000000000000
2015-12-01,1.6750000000000000
2016-01-01,2.0000000000000000
2016-02-01,1.9500000000000000
2016-03-01,1.8000000000000000
2016-04-01,1.5800000000000000
2016-05-01,1.4500000000000000
2016-06-01,1.4750000000000000
2016-07-01,1.5400000000000000
