DATE,GS5,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2007-05-01,4.67,0.08000000000000007,1.7429193899782152,-0.33000000000000007,-6.600000000000001
2007-06-01,5.03,0.3600000000000003,7.708779443254825,-0.040000000000000036,-0.788954635108482
2007-07-01,4.88,-0.15000000000000036,-2.982107355864818,-0.16000000000000014,-3.174603174603177
2007-08-01,4.43,-0.4500000000000002,-9.22131147540984,-0.39000000000000057,-8.091286307053954
2007-09-01,4.2,-0.22999999999999954,-5.191873589164776,-0.46999999999999975,-10.064239828693786
2007-10-01,4.2,0.0,0.0,-0.4900000000000002,-10.447761194029855
2007-11-01,3.67,-0.5300000000000002,-12.619047619047624,-0.9100000000000001,-19.868995633187776
2007-12-01,3.49,-0.17999999999999972,-4.904632152588548,-1.04,-22.958057395143488
2008-01-01,2.98,-0.5100000000000002,-14.61318051575932,-1.77,-37.26315789473684
2008-02-01,2.78,-0.20000000000000018,-6.71140939597316,-1.9300000000000002,-40.976645435244166
2008-03-01,2.48,-0.2999999999999998,-10.791366906474813,-2.0000000000000004,-44.64285714285715
2008-04-01,2.84,0.3599999999999999,14.51612903225806,-1.75,-38.12636165577342
2008-05-01,3.15,0.31000000000000005,10.915492957746482,-1.52,-32.54817987152035
2008-06-01,3.49,0.3400000000000003,10.793650793650803,-1.54,-30.616302186878723
2008-07-01,3.3,-0.1900000000000004,-5.444126074498578,-1.58,-32.37704918032787
2008-08-01,3.14,-0.1599999999999997,-4.84848484848484,-1.2899999999999996,-29.119638826185096
2008-09-01,2.88,-0.26000000000000023,-8.28025477707007,-1.3200000000000003,-31.428571428571434
2008-10-01,2.73,-0.1499999999999999,-5.20833333333333,-1.4700000000000002,-35.0
2008-11-01,2.29,-0.43999999999999995,-16.117216117216117,-1.38,-37.60217983651226
2008-12-01,1.52,-0.77,-33.624454148471614,-1.9700000000000002,-56.446991404011456
2009-01-01,1.6,0.08000000000000007,5.263157894736847,-1.38,-46.30872483221476
2009-02-01,1.87,0.27,16.875,-0.9099999999999997,-32.73381294964028
