DATE,WILL5000PR,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2002-07-01,65.12877,-5.797839999999994,-8.174421419549017,-19.587670000000003,-23.121450806950815
2002-08-01,65.40918,0.2804100000000034,0.4305470531686739,-14.06622999999999,-17.698845466792797
2002-09-01,58.75484,-6.654340000000005,-10.173403794390946,-13.524090000000001,-18.71097150995456
2002-10-01,63.1665,4.411659999999998,7.5085899306337955,-10.88037,-14.693895906741231
2002-11-01,66.86542,3.698920000000001,5.855825477112079,-12.733649999999997,-15.99723464105799
2002-12-01,63.05971,-3.8057099999999977,-5.691596642928435,-17.871339999999996,-22.082179830856013
2003-01-01,61.41111,-1.6486000000000018,-2.614347576289205,-18.439190000000004,-23.092198776961393
2003-02-01,60.2587,-1.1524100000000033,-1.8765496992319521,-17.83961,-22.842504530507767
2003-03-01,60.85777,0.5990700000000047,0.9941634983828138,-20.587699999999998,-25.27789452255601
2003-04-01,65.77145,4.913679999999999,8.074038861430513,-11.633690000000001,-15.029609144819068
2003-05-01,69.67844,3.9069899999999933,5.94025219149037,-6.708680000000001,-8.782475370193302
2003-06-01,70.61211,0.9336700000000064,1.3399697237768333,-0.31449999999999534,-0.44341608882758576
2003-07-01,72.22027,1.608159999999998,2.2774563739845726,7.091499999999996,10.888429184214589
2003-08-01,73.84809,1.6278199999999998,2.25396554180703,8.438909999999993,12.901721134556329
2003-09-01,72.93445,-0.9136400000000009,-1.2371883958000822,14.179609999999997,24.133518191862997
2003-10-01,77.27922,4.344769999999997,5.957088865412706,14.112719999999996,22.34209588943506
2003-11-01,78.24441,0.9651900000000069,1.2489644693618893,11.378990000000002,17.01774998197873
2003-12-01,81.62603,3.381619999999998,4.321867849728815,18.566319999999997,29.442444311906918
2004-01-01,83.36117,1.7351400000000012,2.1257189648939208,21.95006,35.74281591718502
2004-02-01,84.44721,1.086039999999997,1.3028128084094754,24.18851,40.14110825490759
2004-03-01,83.43842,-1.0087900000000047,-1.1945806143269917,22.58064999999999,37.10397209756452
2004-04-01,81.58091,-1.8575099999999907,-2.226204666866883,15.809460000000001,24.036964366757918
2004-05-01,82.5832,1.0022900000000021,1.2285839910341796,12.90476000000001,18.52044908008849
2004-06-01,84.23332,1.6501200000000011,1.9981303703416688,13.621210000000005,19.290189742241104
2004-07-01,80.99855,-3.2347700000000117,-3.8402499153541747,8.778279999999995,12.154870093950072
2004-08-01,81.14117,0.14262000000000796,0.17607722607380993,7.293080000000003,9.875786902545487
2004-09-01,82.33764,1.1964699999999908,1.474553546615104,9.403189999999995,12.892659093199436
2004-10-01,83.56759,1.2299500000000023,1.493788260144452,6.2883700000000005,8.137206871394408
2004-11-01,87.31307,3.7454800000000006,4.4819768046440025,9.068659999999994,11.590169828106562
2004-12-01,90.3319,3.0188300000000083,3.457477786544452,8.705870000000004,10.665556073228116
2005-01-01,87.88137,-2.4505300000000005,-2.7128068821756215,4.520200000000003,5.422428691919754
2005-02-01,89.63903,1.7576600000000013,2.000037095461759,5.191820000000007,6.148006547522419
2005-03-01,87.95695,-1.6820799999999991,-1.8765040183946646,4.518530000000013,5.415406955213213
2005-04-01,85.91857,-2.0383800000000036,-2.3174746282130103,4.33766,5.317003696085272
2005-05-01,89.02402,3.1054499999999905,3.614410714703457,6.440819999999988,7.799189181334687
2005-06-01,89.61538,0.5913600000000088,0.6642701598961818,5.382059999999996,6.389466781079026
2005-07-01,93.21793,3.6025499999999937,4.020013082575774,12.219380000000001,15.085924377658616
2005-08-01,92.20346,-1.0144699999999887,-1.088277759439615,11.062290000000004,13.63338734208541
2005-09-01,92.83669,0.6332299999999975,0.6867746611678103,10.499050000000011,12.751215604430746
2005-10-01,91.02922,-1.8074700000000092,-1.9469349887420686,7.4616299999999995,8.928856270714519
2005-11-01,94.45219,3.4229700000000065,3.7602980669284065,7.1391200000000055,8.176462011930179
2005-12-01,94.4565,0.004310000000003811,0.004563155179359855,4.124600000000001,4.56605031002337
2006-01-01,97.72838,3.271879999999996,3.4639013725894943,9.847009999999997,11.204889045311875
2006-02-01,97.50972,-0.21865999999999985,-0.22374258122359122,7.870689999999996,8.780427454424702
