DATE,NASDAQCOM,NASDAQCOM Mon_Chg,NASDAQCOM Per_Mon_Chg,NASDAQCOM Yr_Chg,NASDAQCOM Per_Yr_Chg,WILL5000,WILL5000 Mon_Chg,WILL5000 Per_Mon_Chg,WILL5000 Yr_Chg,WILL5000 Per_Yr_Chg
2001-07-01,51.44543,-3.3857399999999984,-6.1748454391908805,-44.15496,-46.187008232916206,84.71644,-1.5013599999999911,-1.741357353121967,-16.03703999999999,-15.917107776326922
2001-08-01,45.81903,-5.626400000000004,-10.936637131811326,-60.93164,-57.07846142792359,79.47541,-5.241030000000009,-6.186555997867721,-28.45634,-26.365124256764112
2001-09-01,38.03723,-7.781799999999997,-16.98377289960088,-55.17327,-59.1921189136417,72.27893,-7.196479999999994,-9.054976879012004,-30.61368,-29.75304057307906
2001-10-01,42.89467,4.857439999999997,12.770225381816704,-42.62134,-49.84018781980123,74.04687,1.7679399999999958,2.4459963643623333,-26.58847,-26.42060930086787
2001-11-01,48.99514,6.100470000000001,14.22197676308036,-16.93631,-25.687755995052434,79.59907,5.552199999999999,7.498223760167039,-10.92004,-12.063795147787026
2001-12-01,49.49814,0.5030000000000001,1.0266324374213445,-13.199840000000002,-21.0530546598152,80.93105,1.3319800000000015,1.6733612591202405,-11.096990000000003,-12.058270501034254
2002-01-01,49.0827,-0.4154399999999967,-0.8393042647663058,-21.28491,-30.24816389244995,79.8503,-1.0807499999999948,-1.335395994491601,-15.620359999999993,-16.361424546557018
2002-02-01,43.94254,-5.140160000000002,-10.472447522243074,-10.66758,-19.5340717068558,78.09831,-1.7519900000000064,-2.194093196894697,-8.256600000000006,-9.561239772006022
2002-03-01,46.83213,2.8895899999999983,6.575837445900938,0.129170000000002,0.2765777586688339,81.44547,3.3471600000000024,4.285828976324843,0.981740000000002,1.2201025232113925
2002-04-01,42.84467,-3.987459999999999,-8.514368233945367,-10.862229999999997,-20.22501764205344,77.40514,-4.040329999999997,-4.960779279682464,-9.608620000000002,-11.042644289822668
2002-05-01,41.00473,-1.8399399999999984,-4.294443159440832,-12.55625,-23.4429056376489,76.38712,-1.018020000000007,-1.315183978738372,-11.365530000000009,-12.951779803800804
2002-06-01,37.13401,-3.870719999999999,-9.439691469740191,-17.697159999999997,-32.27572929776986,70.92661,-5.460509999999999,-7.14846953255994,-15.29119,-17.735537209253774
2002-07-01,33.70919,-3.424820000000004,-9.222866046516396,-17.736240000000002,-34.475831964083106,65.12877,-5.797839999999994,-8.174421419549017,-19.587670000000003,-23.12145080695081
2002-08-01,33.36886,-0.3403300000000016,-1.0096059857860766,-12.45017,-27.172487064872392,65.40918,0.2804100000000034,0.4305470531686739,-14.06622999999999,-17.698845466792797
2002-09-01,29.74507,-3.62379,-10.85979562981774,-8.292160000000003,-21.800115308081065,58.75484,-6.654340000000005,-10.173403794390946,-13.52409,-18.71097150995456
2002-10-01,33.747,4.0019300000000015,13.454095081974934,-9.147669999999998,-21.325889673472247,63.1665,4.411659999999998,7.5085899306337955,-10.88037,-14.693895906741233
2002-11-01,37.52915,3.7821500000000015,11.207366580733106,-11.465989999999998,-23.402300717989576,66.86542,3.698920000000001,5.855825477112079,-12.733649999999995,-15.99723464105799
2002-12-01,33.89318,-3.63597,-9.688388892367666,-15.604959999999998,-31.52635634389494,63.05971,-3.8057099999999977,-5.691596642928435,-17.871339999999996,-22.082179830856013
2003-01-01,33.52266,-0.3705199999999991,-1.0931992807992614,-15.56004,-31.70167900298883,61.41111,-1.6486000000000018,-2.614347576289205,-18.439190000000004,-23.092198776961396
2003-02-01,33.94419,0.4215299999999971,1.2574479471497697,-9.998350000000002,-22.753236385516185,60.2587,-1.1524100000000033,-1.876549699231952,-17.83961,-22.842504530507767
2003-03-01,34.03682,0.0926299999999997,0.2728891159282333,-12.79531,-27.321648620295512,60.85777,0.5990700000000047,0.9941634983828138,-20.5877,-25.27789452255601
2003-04-01,37.16193,3.1251099999999994,9.18155691395377,-5.682740000000003,-13.263586812548684,65.77145,4.913679999999999,8.074038861430513,-11.63369,-15.029609144819068
2003-05-01,40.50173,3.339800000000004,8.987154327022315,-0.5030000000000001,-1.2266877504131843,69.67844,3.906989999999993,5.94025219149037,-6.708680000000001,-8.782475370193302
2003-06-01,41.18416,0.6824299999999965,1.68494037168288,4.050149999999995,10.906847927277433,70.61211,0.9336700000000064,1.339969723776833,-0.3144999999999953,-0.4434160888275857
2003-07-01,44.03213,2.847970000000004,6.915207205877221,10.322940000000004,30.62351839364874,72.22027,1.608159999999998,2.277456373984573,7.091499999999996,10.888429184214589
2003-08-01,45.94643,1.9142999999999968,4.347507149892584,12.57757,37.69253729375232,73.84809,1.6278199999999998,2.25396554180703,8.438909999999993,12.901721134556327
2003-09-01,45.34978,-0.5966499999999968,-1.298577495574731,15.604710000000004,52.46150034274589,72.93445,-0.9136400000000008,-1.2371883958000822,14.179609999999997,24.133518191863
2003-10-01,49.03651,3.686729999999997,8.129543296571663,15.28951,45.30627907665867,77.27922,4.344769999999997,5.957088865412706,14.112719999999996,22.34209588943506
2003-11-01,49.74837,0.7118600000000015,1.451693850153695,12.21922,32.559277255146995,78.24441,0.9651900000000068,1.248964469361889,11.378990000000002,17.01774998197873
2003-12-01,50.84244,1.094070000000002,2.199207732836276,16.949260000000002,50.00787769102811,81.62603,3.381619999999998,4.321867849728815,18.56632,29.44244431190692
2004-01-01,52.4357,1.5932599999999937,3.133720568879058,18.913039999999995,56.41867321984591,83.36117,1.7351400000000012,2.1257189648939208,21.95006,35.74281591718502
2004-02-01,51.5137,-0.921999999999997,-1.7583440289726218,17.56951,51.759991916142354,84.44721,1.086039999999997,1.3028128084094754,24.18851,40.14110825490759
2004-03-01,50.61022,-0.9034800000000018,-1.7538635353313816,16.5734,48.6925629362555,83.43842,-1.0087900000000047,-1.1945806143269917,22.58064999999999,37.10397209756452
2004-04-01,48.73044,-1.879779999999997,-3.7142300507683954,11.568510000000003,31.13000320489276,81.58091,-1.857509999999991,-2.226204666866883,15.80946,24.03696436675792
2004-05-01,50.42039,1.689949999999996,3.467955553038298,9.918659999999996,24.489472425005044,82.5832,1.002290000000002,1.2285839910341796,12.90476000000001,18.52044908008849
2004-06-01,51.96975,1.54936,3.0728838075231075,10.78559,26.1886851643933,84.23332,1.6501200000000011,1.9981303703416688,13.621210000000003,19.290189742241104
2004-07-01,47.89828,-4.071469999999998,-7.834307457703757,3.8661499999999975,8.78029293609007,80.99855,-3.234770000000012,-3.840249915354175,8.778279999999995,12.154870093950072
2004-08-01,46.64814,-1.2501400000000018,-2.60998933573398,0.7017099999999985,1.5272350865997608,81.14117,0.1426200000000079,0.1760772260738099,7.293080000000003,9.875786902545489
2004-09-01,48.13887,1.4907299999999992,3.195690117548094,2.7890899999999945,6.150173165117878,82.33764,1.1964699999999908,1.474553546615104,9.403189999999997,12.892659093199436
2004-10-01,50.1222,1.9833300000000025,4.12001777357882,1.0856899999999996,2.214044188707556,83.56759,1.2299500000000023,1.493788260144452,6.2883700000000005,8.137206871394408
2004-11-01,53.2138,3.0916,6.1681251022501,3.465429999999998,6.965916672244735,87.31307,3.7454800000000006,4.4819768046440025,9.068659999999994,11.590169828106562
2004-12-01,55.20931,1.995510000000003,3.74998590591163,4.366869999999999,8.589025231676525,90.3319,3.0188300000000083,3.457477786544452,8.705870000000004,10.665556073228116
2005-01-01,52.34078,-2.86853,-5.195736009017319,-0.0949199999999947,-0.1810217084924866,87.88137,-2.4505300000000005,-2.712806882175621,4.520200000000003,5.422428691919754
2005-02-01,52.06949,-0.2712900000000005,-0.5183147824698074,0.5557900000000018,1.078916870657712,89.63903,1.757660000000001,2.000037095461759,5.191820000000007,6.148006547522419
2005-03-01,50.73737,-1.3321200000000033,-2.558350389066617,0.1271500000000003,0.2512338417023287,87.95695,-1.6820799999999991,-1.8765040183946649,4.518530000000013,5.415406955213213
2005-04-01,48.76851,-1.9688599999999996,-3.880492820183623,0.0380699999999976,0.0781236533058137,85.91857,-2.038380000000004,-2.3174746282130103,4.33766,5.317003696085272
2005-05-01,52.48823,3.7197200000000015,7.6272988450949235,2.067840000000004,4.101197947893708,89.02402,3.1054499999999905,3.614410714703457,6.440819999999988,7.799189181334687
2005-06-01,52.20247,-0.2857600000000033,-0.5444268172121699,0.2327200000000004,0.4477989599719076,89.61538,0.5913600000000088,0.6642701598961818,5.382059999999996,6.389466781079026
2005-07-01,55.44761,3.2451399999999992,6.216449145030876,7.549329999999998,15.761171382354435,93.21793,3.6025499999999937,4.020013082575774,12.21938,15.085924377658616
2005-08-01,54.61672,-0.8308899999999966,-1.4985136419766274,7.968580000000003,17.08231024859727,92.20346,-1.0144699999999889,-1.088277759439615,11.062290000000004,13.63338734208541
2005-09-01,54.60657,-0.0101500000000029,-0.0185840526490843,6.467700000000001,13.435504406314482,92.83669,0.6332299999999975,0.6867746611678103,10.499050000000013,12.751215604430746
