DATE,MORTGAGE15US_Monthly Change,MORTGAGE30US_Monthly Change,MORTGAGE5US_Monthly Change,Rent Index Mon_Chg,NASDAQCOM Mon_Chg,WILL5000 Per_Mon_Chg,House Completed,House Under Construction,5yr_Maturity Per_Mon_Chg,10yr_Maturity Per_Mon_Chg,30yr_Maturity Per_Mon_Chg,CPI Mon_Chg,House Index Monthly Change,Year,Month,Unemployment Rate,Unemployment Rate - Black or African American,Unemployment Rate - White,Insured Unemployment Rate,Number Unemployed for 27 Weeks & Over,EMRATIO,Personal Income,Real Personal Income,Job Openings- Total Nonfarm,AverageHourlySalary-Private,Median Sales Price for New Houses Sold,Real Private Residential Fixed Investment,Total Construction Spending- Residential,Monthly Supply of Houses in the United States,Homeownership Rate for the United States
2006-12-01,-0.0760000000000005,-0.1050000000000004,-0.0769999999999999,0.5527900000000017,-0.4182400000000044,1.0245429789136895,15.09,8.05,-1.091703056768555,5.605381165919283,-0.2132196162047052,0.6497300000000052,0.5289999999999964,2006,12,4.4,8.3,3.9,2.04,1093,63.4,11671.2,12998.472,4620.0,20.57,244700.0,,551740.0,6.5,
2007-01-01,0.0849999999999999,0.0825000000000004,0.0774999999999996,0.4129300000000029,1.234410000000004,1.8004611789547782,15.01,7.79,4.856512141280348,2.5477707006369448,3.632478632478632,0.1990499999999997,0.3780000000000143,2007,1,4.6,7.9,4.2,2.325,1141,63.3,11744.7,13033.906,4763.0,20.6,254400.0,722.749,544096.0,7.2,68.5
2007-02-01,0.0549999999999997,0.0674999999999999,-0.0224999999999999,0.5522399999999976,-1.2125800000000029,-1.7820206070731253,13.18,7.69,-0.8421052631578954,-5.590062111801252,-0.6185567010309148,0.4660399999999924,0.079999999999984,2007,2,4.5,8.0,4.1,2.3,1249,63.3,11838.3,13096.338,4699.0,20.68,250800.0,,538260.0,7.9,
2007-03-01,-0.1359999999999992,-0.1290000000000004,-0.096,0.4438900000000103,0.1393199999999979,0.9860125084123122,13.12,7.57,-4.883227176220797,1.9736842105263324,-2.0746887966805088,0.6272900000000021,-0.4489999999999838,2007,3,4.4,8.4,3.8,2.16,1245,63.3,11927.2,13147.949,4962.0,20.72,262600.0,,534655.0,7.9,
2007-04-01,-0.0015,0.024,0.0084999999999997,0.3377600000000029,2.6254100000000093,3.907117079492045,12.76,7.47,2.45535714285713,-0.4301075268817303,3.1779661016949228,0.3638499999999993,-1.1410000000000196,2007,4,4.5,8.3,4.0,1.95,1206,63.0,11955.5,13151.498,4689.0,20.79,242500.0,694.27,530749.0,7.4,68.3
2007-05-01,0.0854999999999996,0.0819999999999998,0.0655000000000001,0.3847399999999936,2.015809999999988,3.45058531963048,12.78,7.3,1.7429193899782152,5.831533477321824,0.6160164271047278,0.5026600000000059,-1.407999999999987,2007,5,4.4,8.3,3.9,1.725,1132,63.0,11982.7,13144.673,4657.0,20.84,245000.0,,521499.0,7.8,
2007-06-01,0.3719999999999999,0.3955000000000002,0.3269999999999999,0.3465999999999951,-0.0327399999999897,-1.7266208024887653,12.2,7.22,7.708779443254825,2.653061224489793,6.122448979591832,0.2829299999999932,-1.3449999999999989,2007,6,4.6,8.5,4.1,1.72,1143,63.0,11992.7,13127.988,4859.0,20.95,235500.0,,513524.0,8.2,
2007-07-01,0.0200000000000004,0.0375000000000005,0.0175,0.394139999999993,-1.4455600000000004,-3.4928850221960266,12.08,7.09,-2.982107355864818,-4.970178926441352,-1.7307692307692282,0.217960000000005,-1.141999999999996,2007,7,4.7,8.1,4.2,1.95,1291,62.9,12017.6,13134.159,4598.0,20.96,246200.0,650.137,503486.0,8.3,68.0
2007-08-01,-0.1260000000000003,-0.1230000000000002,0.0095,0.2918800000000203,1.2712099999999964,1.1902835238012417,12.41,6.82,-9.22131147540984,-5.020920502092054,-3.522504892367918,0.03779999999999,-0.992999999999995,2007,8,4.6,7.6,4.2,1.8,1246,62.7,12028.5,13137.613,4546.0,21.0,236500.0,,488816.0,9.2,
2007-09-01,-0.1864999999999996,-0.1894999999999997,-0.1194999999999995,0.3952399999999727,2.668289999999999,3.445037082440024,10.85,6.67,-5.191873589164776,1.1013215859030798,-2.839756592292083,0.5197900000000004,-0.5589999999999975,2007,9,4.7,8.0,4.2,1.64,1264,62.9,12098.9,13165.169,4652.0,21.04,240300.0,,472995.0,9.2,
2007-10-01,-0.0075000000000002,-0.0075000000000002,-0.1200000000000001,0.5201800000000105,4.000150000000005,1.8092127140850969,11.38,6.49,0.0,-2.396514161220032,-0.4175365344467737,0.3797899999999998,-0.9350000000000024,2007,10,4.7,8.5,4.1,1.65,1298,62.7,12109.7,13139.629,4636.0,21.06,234300.0,596.079,455045.0,8.5,67.8
2007-11-01,-0.1900000000000004,-0.1669999999999998,-0.1785000000000005,0.4881200000000092,-5.028990000000007,-4.651198304842019,11.28,6.25,-12.619047619047624,-11.383928571428577,-5.241090146750524,0.9710600000000084,-1.4790000000000134,2007,11,4.7,8.5,4.2,1.8,1374,62.9,12161.6,13127.498,4646.0,21.12,249100.0,,439144.0,9.4,
2007-12-01,-0.0974999999999992,-0.1130000000000004,-0.0539999999999993,0.4477599999999881,-0.2202899999999914,-0.7797131851341453,10.31,6.11,-4.904632152588548,1.7632241813601974,0.2212389380531123,0.3609000000000009,-0.8059999999999832,2007,12,5.0,9.0,4.4,2.14,1324,62.7,12235.9,13177.454,4545.0,21.18,227700.0,,423699.0,9.6,
2008-01-01,-0.4645000000000001,-0.3369999999999997,-0.4080000000000003,0.3559999999999945,-6.659810000000007,-6.170484430350394,10.04,5.92,-14.61318051575932,-9.15841584158416,-4.415011037527598,0.4305999999999983,-1.2090000000000032,2008,1,5.0,9.1,4.4,2.525,1388,62.9,12278.6,13188.347,4624.0,21.19,232400.0,548.658,409420.0,9.3,67.9
