DATE,5yr_Maturity,5yr_Maturity Mon_Chg,5yr_Maturity Per_Mon_Chg,5yr_Maturity Yr_Chg,5yr_Maturity Per_Yr_Chg,10yr_Maturity,10yr_Maturity Mon_Chg,10yr_Maturity Per_Mon_Chg,10yr_Maturity Yr_Chg,10yr_Maturity Per_Yr_Chg,30yr_Maturity,30yr_Maturity Mon_Chg,30yr_Maturity Per_Mon_Chg,30yr_Maturity Yr_Chg,30yr_Maturity Per_Yr_Chg
2009-03-01,1.82,-0.05,-2.6737967914438525,-0.6599999999999999,-26.61290322580645,2.71,-0.31,-10.264900662251655,-0.7400000000000002,-21.449275362318847,3.64,0.0500000000000002,1.3927576601671383,-0.7499999999999996,-17.084282460136667
2009-04-01,1.86,0.04,2.1978021978022,-0.9799999999999998,-34.50704225352112,3.16,0.4500000000000002,16.60516605166052,-0.6099999999999999,-16.18037135278514,3.76,0.1199999999999996,3.296703296703287,-0.6800000000000006,-15.315315315315328
2009-05-01,2.13,0.2699999999999998,14.516129032258052,-1.02,-32.38095238095238,3.47,0.31,9.810126582278482,-0.5899999999999994,-14.532019704433486,4.23,0.4700000000000006,12.500000000000016,-0.3699999999999992,-8.043478260869549
2009-06-01,2.71,0.5800000000000001,27.23004694835681,-0.7800000000000002,-22.349570200573076,3.53,0.0599999999999996,1.7291066282420635,-0.4600000000000004,-11.528822055137852,4.52,0.2899999999999991,6.85579196217492,-0.1700000000000008,-3.624733475479761
2009-07-01,2.46,-0.25,-9.22509225092251,-0.8399999999999999,-25.454545454545453,3.52,-0.0099999999999997,-0.283286118980164,-0.4700000000000002,-11.77944862155389,4.41,-0.1099999999999994,-2.433628318584059,-0.1600000000000001,-3.5010940919037226
2009-08-01,2.57,0.1099999999999998,4.471544715447149,-0.5700000000000003,-18.152866242038225,3.4,-0.1200000000000001,-3.4090909090909123,-0.4300000000000001,-11.227154046997391,4.37,-0.04,-0.9070294784580506,-0.1299999999999999,-2.8888888888888866
2009-09-01,2.37,-0.1999999999999997,-7.782101167315165,-0.5099999999999998,-17.708333333333325,3.31,-0.0899999999999998,-2.647058823529408,-0.54,-14.025974025974028,4.19,-0.1799999999999997,-4.118993135011436,-0.0799999999999991,-1.873536299765789
2009-10-01,2.33,-0.04,-1.6877637130801704,-0.3999999999999999,-14.65201465201465,3.41,0.1,3.021148036253779,-0.5999999999999996,-14.962593516209468,4.19,0.0,0.0,0.0200000000000004,0.4796163069544475
2009-11-01,2.23,-0.1,-4.291845493562235,-0.06,-2.620087336244544,3.21,-0.2000000000000001,-5.865102639296193,0.2799999999999998,9.556313993174054,4.31,0.1199999999999992,2.863961813842463,0.3099999999999996,7.74999999999999
2009-12-01,2.34,0.1099999999999998,4.932735426008963,0.8199999999999998,53.94736842105262,3.85,0.6400000000000001,19.93769470404985,1.6,71.11111111111111,4.49,0.1800000000000006,4.176334106728553,1.62,56.44599303135889
2010-01-01,2.48,0.1400000000000001,5.982905982905988,0.8799999999999999,54.99999999999999,3.63,-0.2200000000000002,-5.714285714285719,0.7599999999999998,26.48083623693379,4.6,0.1099999999999994,2.4498886414253773,1.4699999999999998,46.96485623003194
2010-02-01,2.36,-0.1200000000000001,-4.838709677419359,0.4899999999999997,26.20320855614972,3.61,-0.02,-0.5509641873278243,0.5899999999999999,19.5364238410596,4.62,0.0200000000000004,0.4347826086956622,1.0300000000000002,28.6908077994429
2010-03-01,2.43,0.0700000000000002,2.9661016949152663,0.6100000000000001,33.51648351648352,3.84,0.2299999999999999,6.3711911357340725,1.13,41.69741697416974,4.64,0.0199999999999995,0.4329004329004236,0.9999999999999996,27.472527472527457
2010-04-01,2.58,0.1499999999999999,6.172839506172836,0.72,38.70967741935484,3.69,-0.1499999999999999,-3.906249999999998,0.5299999999999998,16.77215189873417,4.69,0.0500000000000007,1.0775862068965671,0.9300000000000006,24.734042553191507
2010-05-01,2.18,-0.3999999999999999,-15.503875968992244,0.0500000000000002,2.3474178403755994,3.31,-0.3799999999999999,-10.298102981029809,-0.1600000000000001,-4.610951008645537,4.29,-0.4000000000000003,-8.52878464818764,0.0599999999999996,1.4184397163120472
2010-06-01,2.0,-0.1800000000000001,-8.256880733944962,-0.71,-26.199261992619927,2.97,-0.3399999999999998,-10.271903323262835,-0.5599999999999996,-15.864022662889507,4.13,-0.1600000000000001,-3.729603729603733,-0.3899999999999997,-8.62831858407079
2010-07-01,1.76,-0.24,-12.0,-0.7,-28.455284552845526,2.94,-0.0300000000000002,-1.0101010101010184,-0.5800000000000001,-16.47727272727273,3.99,-0.1399999999999996,-3.389830508474569,-0.4199999999999999,-9.523809523809522
2010-08-01,1.47,-0.29,-16.47727272727273,-1.1,-42.80155642023346,2.47,-0.4699999999999997,-15.986394557823122,-0.9299999999999996,-27.35294117647058,3.8,-0.1900000000000004,-4.761904761904772,-0.5700000000000003,-13.04347826086957
2010-09-01,1.41,-0.06,-4.081632653061228,-0.9600000000000002,-40.50632911392405,2.53,0.0599999999999996,2.429149797570834,-0.7800000000000002,-23.56495468277946,3.77,-0.0299999999999998,-0.7894736842105211,-0.4200000000000004,-10.023866348448696
2010-10-01,1.18,-0.2299999999999999,-16.31205673758865,-1.15,-49.35622317596567,2.63,0.1,3.9525691699604777,-0.7800000000000002,-22.87390029325514,3.87,0.1,2.6525198938992065,-0.3200000000000003,-7.637231503579958
2010-11-01,1.35,0.1700000000000001,14.406779661016964,-0.8799999999999999,-39.46188340807175,2.81,0.1800000000000001,6.844106463878333,-0.3999999999999999,-12.46105919003115,4.19,0.3200000000000003,8.268733850129205,-0.1199999999999992,-2.784222737819008
2010-12-01,1.93,0.5799999999999998,42.96296296296295,-0.4099999999999999,-17.52136752136752,3.3,0.4899999999999997,17.437722419928818,-0.5500000000000003,-14.285714285714294,4.42,0.2299999999999995,5.489260143198079,-0.0700000000000002,-1.559020044543436
