observation_date,CSUSHPISA,Change from Last Month,Percent Change from Last Month,Change From Year Ago,Percent Change From Year Ago
2007-03-01,184.15,-0.4489999999999838,-0.2432299199887236,-0.2129999999999938,-0.11553294316104
2007-04-01,183.009,-1.1410000000000196,-0.6196035840347649,-1.3200000000000216,-0.71611086698241
2007-05-01,181.601,-1.407999999999987,-0.7693610696741621,-2.555000000000007,-1.3874106735593699
2007-06-01,180.256,-1.3449999999999989,-0.7406346881349766,-3.2510000000000048,-1.77159454407734
2007-07-01,179.114,-1.141999999999996,-0.633543404935201,-3.954999999999984,-2.16038761341351
2007-08-01,178.121,-0.992999999999995,-0.5543955246379373,-4.474999999999994,-2.45076562465771
2007-09-01,177.562,-0.5589999999999975,-0.3138316088501622,-5.238999999999976,-2.86595806368672
2007-10-01,176.627,-0.9350000000000024,-0.5265766323875616,-6.574999999999989,-3.5889346186176905
2007-11-01,175.148,-1.4790000000000134,-0.837357821850574,-8.463999999999999,-4.60972049757096
2007-12-01,174.342,-0.8059999999999832,-0.4601822458720528,-9.798999999999978,-5.32146561602249
2008-01-01,173.133,-1.2090000000000032,-0.6934645696389873,-11.385999999999996,-6.17063825405513
2008-02-01,171.541,-1.592000000000013,-0.9195242963502122,-13.057999999999993,-7.073711125195691
2008-03-01,170.053,-1.4879999999999995,-0.8674311097638464,-14.097000000000008,-7.6551724137931005
2008-04-01,168.339,-1.7139999999999986,-1.0079210599048525,-14.669999999999987,-8.015999213153439
2008-05-01,166.661,-1.6779999999999973,-0.9967981275877824,-14.939999999999998,-8.22682694478554
2008-06-01,165.02,-1.6409999999999911,-0.984633477538231,-15.23599999999999,-8.45242322030888
2008-07-01,163.571,-1.4490000000000125,-0.8780753848018497,-15.543000000000006,-8.67771363489174
2008-08-01,161.993,-1.578000000000003,-0.9647186848524512,-16.128000000000014,-9.05451911902583
2008-09-01,160.311,-1.681999999999988,-1.0383164704647658,-17.251000000000005,-9.7154796634415
2008-10-01,158.327,-1.9840000000000089,-1.237594425834789,-18.30000000000001,-10.360816862654069
2008-11-01,156.14,-2.187000000000012,-1.3813184106311696,-19.00800000000001,-10.85253614086373
2008-12-01,153.616,-2.5239999999999725,-1.6164980146022627,-20.726,-11.8881279324546
2009-01-01,151.504,-2.112000000000023,-1.3748567857514993,-21.62900000000002,-12.492707918190069
2009-02-01,150.012,-1.4919999999999902,-0.984792480726575,-21.529,-12.550352393888339
2009-03-01,148.659,-1.3530000000000086,-0.901927845772344,-21.394000000000005,-12.58078363804226
2009-04-01,147.949,-0.7099999999999795,-0.4776031050928497,-20.389999999999983,-12.11246354083129
2009-05-01,147.695,-0.2540000000000191,-0.1716807818910699,-18.966000000000008,-11.37998691955527
2009-06-01,148.088,0.3930000000000007,0.2660888994211048,-16.932000000000016,-10.26057447582112
2009-07-01,148.407,0.3190000000000168,0.2154124574577392,-15.163999999999987,-9.27059197535014
2009-08-01,148.273,-0.1340000000000145,-0.0902922368891053,-13.72,-8.46950176859493
2009-09-01,148.02,-0.2529999999999859,-0.1706312005557221,-12.290999999999997,-7.666972322548039
2009-10-01,147.847,-0.1730000000000018,-0.1168760978246195,-10.47999999999999,-6.61921213690652
2009-11-01,148.134,0.2869999999999777,0.1941195966099939,-8.006,-5.12744972460612
2009-12-01,147.93,-0.2039999999999793,-0.1377131516059644,-5.686000000000007,-3.7014373502760103
2010-01-01,147.394,-0.5360000000000014,-0.3623335361319552,-4.109999999999985,-2.7127996620551103
2010-02-01,145.631,-1.7630000000000052,-1.196113817387414,-4.381,-2.9204330320241
2010-03-01,145.858,0.2270000000000038,0.1558734060742588,-2.800999999999988,-1.8841778836128202
2010-04-01,146.4,0.5420000000000016,0.3715942903371783,-1.5490000000000066,-1.0469824060994
2010-05-01,146.39,-0.0100000000000193,-0.0068306010929093,-1.3050000000000068,-0.8835776431158799
2010-06-01,145.717,-0.6729999999999734,-0.4597308559327642,-2.370999999999981,-1.6010750364647899
2010-07-01,144.986,-0.731000000000023,-0.5016573220695065,-3.4210000000000207,-2.30514733132535
2010-08-01,143.909,-1.0769999999999982,-0.7428303422399393,-4.364000000000004,-2.94321960168068
2010-09-01,143.012,-0.8969999999999914,-0.623310564314943,-5.00800000000001,-3.3833265774895303
2010-10-01,142.524,-0.4879999999999995,-0.3412301065644837,-5.323000000000008,-3.60034359844975
2010-11-01,142.17,-0.3540000000000134,-0.2483792203418466,-5.963999999999999,-4.02608449106889
2010-12-01,142.061,-0.1089999999999804,-0.0766687768164735,-5.869,-3.9674170215642497
2011-01-01,141.527,-0.5340000000000202,-0.3758948620663097,-5.867000000000019,-3.98048767249685
2011-02-01,140.356,-1.1709999999999925,-0.8274039582553098,-5.275000000000006,-3.6221683570119
2011-03-01,139.985,-0.3709999999999809,-0.2643278520333871,-5.872999999999991,-4.02651894308162
2011-04-01,140.008,0.0229999999999961,0.0164303318212638,-6.391999999999996,-4.36612021857923
2011-05-01,139.9,-0.108000000000004,-0.0771384492314754,-6.489999999999981,-4.433362934626659
2011-06-01,139.858,-0.0420000000000015,-0.0300214438884929,-5.859000000000009,-4.020807455547399
2011-07-01,139.727,-0.1310000000000002,-0.0936664330964265,-5.258999999999986,-3.62724676865351
2011-08-01,139.306,-0.4209999999999922,-0.3013018242716098,-4.60299999999998,-3.19854908310111
2011-09-01,138.666,-0.6400000000000148,-0.4594202690480056,-4.346000000000004,-3.03890582608452
2011-10-01,137.951,-0.7150000000000034,-0.5156274789782668,-4.573000000000008,-3.20858241418989
2011-11-01,137.152,-0.7990000000000066,-0.5791911620792938,-5.018000000000001,-3.5295772666525997
2011-12-01,136.674,-0.4779999999999802,-0.348518432104512,-5.3870000000000005,-3.79203299990849
2012-01-01,136.607,-0.0670000000000072,-0.0490217598080156,-4.919999999999988,-3.4763684667943098
2012-02-01,136.531,-0.0759999999999934,-0.0556340451074933,-3.8249999999999886,-2.7252130297244
2012-03-01,137.905,1.3739999999999952,1.0063648548681217,-2.0800000000000125,-1.48587348644498
2012-04-01,139.155,1.25,0.9064210869801674,-0.8530000000000086,-0.60925089994858
