DATE,CPIAUCSL_NBD20000101,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2005-01-01,113.17188,-0.05907000000000551,-0.0005216771562899146,3.1305300000000074,2.844866952286579
2005-02-01,113.64442,0.4725399999999951,0.00417541884079327,3.366810000000001,3.0530313451660778
2005-03-01,114.05789,0.4134700000000038,0.0036382780606386464,3.54401,3.2068460540884094
2005-04-01,114.41229,0.35439999999999827,0.0031071940748684575,3.7212099999999992,3.361797535989349
2005-05-01,114.35322,-0.05907000000000551,-0.0005162906887014105,3.1896099999999876,2.8692932876145236
2005-06-01,114.41229,0.05907000000000551,0.0005165573824681589,2.8352100000000036,2.5410326206780134
2005-07-01,115.12109,0.7087999999999965,0.006195138651625595,3.425869999999989,3.067159006446282
2005-08-01,115.82989,0.7088000000000108,0.006156995212606229,4.075610000000012,3.6469386228429124
2005-09-01,117.42469,1.5947999999999922,0.01376846684392079,5.3160099999999915,4.741836225348466
2005-10-01,117.60189,0.17719999999999914,0.0015090523125928553,4.902540000000002,4.350104947366602
2005-11-01,117.01122,-0.5906700000000029,-0.005022623360900092,3.7802699999999874,3.3385483385946926
2005-12-01,117.01122,0.0,0.0,3.7802699999999874,3.3385483385946926
2006-01-01,117.72002,0.7088000000000108,0.006057538755685231,4.548140000000004,4.018789826589435
2006-02-01,117.77909,0.059069999999991296,0.0005017838087352627,4.13467,3.638251662510135
2006-03-01,117.95629,0.17719999999999914,0.001504511539357276,3.898399999999995,3.4179134823553157
2006-04-01,118.54696,0.5906700000000029,0.005007532875101472,4.13467,3.6138337935548708
2006-05-01,118.90136,0.35439999999999827,0.00298953258691744,4.548140000000004,3.9772732241383357
2006-06-01,119.19669,0.295330000000007,0.002483823566021507,4.784400000000005,4.181718589847302
2006-07-01,119.84643,0.6497399999999942,0.00545099029176057,4.725340000000003,4.104669266074533
2006-08-01,120.37803,0.5315999999999974,0.0044356765570738935,4.548139999999989,3.9265685221664195
2006-09-01,119.78736,-0.5906699999999887,-0.004906792377313275,2.3626700000000085,2.0120725888226816
2006-10-01,119.25576,-0.5316000000000116,-0.00443786389482172,1.6538699999999977,1.4063294390931962
2006-11-01,119.31483,0.05907000000000551,0.0004953219869631916,2.303610000000006,1.9687086417866646
2006-12-01,119.96456,0.6497300000000052,0.005445509162607911,2.9533400000000114,2.5239801789948104
2007-01-01,120.16361,0.19904999999999973,0.0016592400288885293,2.4435900000000004,2.075764173332624
2007-02-01,120.62965,0.46603999999999246,0.0038783788203433007,2.8505600000000015,2.420259827105135
2007-03-01,121.25694,0.6272900000000021,0.0052001311452035395,3.3006500000000045,2.7981975357142925
2007-04-01,121.62079,0.36384999999999934,0.0030006529935523636,3.073830000000001,2.592921826084786
2007-05-01,122.12345,0.5026600000000059,0.004133010482829505,3.2220900000000086,2.7098848995503575
2007-06-01,122.40638,0.28292999999999324,0.0023167540713924578,3.209689999999995,2.6927677270232877
2007-07-01,122.62434,0.21796000000000504,0.0017806261405655902,2.7779100000000057,2.31789132141859
2007-08-01,122.66214,0.037799999999990064,0.0003082585398623965,2.2841099999999983,1.897447565805819
2007-09-01,123.18193,0.5197900000000004,0.004237574853985105,3.3945699999999874,2.833829879880471
2007-10-01,123.56172,0.37978999999999985,0.003083163252921917,4.305959999999999,3.610693521218597
2007-11-01,124.53278,0.9710600000000085,0.007858906463911384,5.217950000000002,4.373261898793303
2007-12-01,124.89368,0.3609000000000009,0.0028980321486439223,4.9291199999999975,4.108813469578013
2008-01-01,125.32428,0.4305999999999983,0.0034477325033580425,5.160669999999996,4.294702863870348
2008-02-01,125.62729,0.30301000000000045,0.0024178076267424033,4.997640000000004,4.142961535576041
2008-03-01,126.07679,0.44950000000000045,0.003578044229084305,4.819850000000002,3.9749065084439725
2008-04-01,126.36858,0.2917899999999918,0.0023143831628326815,4.747789999999995,3.903765137522947
2008-05-01,127.11636,0.7477800000000059,0.005917451948894305,4.992909999999995,4.0884121763674335
2008-06-01,128.44832,1.3319599999999951,0.010478273606953465,6.041939999999997,4.935968206885946
2008-07-01,129.36562,0.9173000000000116,0.007141393519199095,6.741280000000003,5.4975056338733435
2008-08-01,129.17307,-0.19255000000001132,-0.001488417092578471,6.510930000000002,5.308019247014607
2008-09-01,129.28352,0.11045000000001437,0.0008550543855620554,6.101590000000016,4.953315798835118
2008-10-01,128.17188,-1.1116400000000226,-0.008598466378390861,4.610159999999993,3.7310584540260474
2008-11-01,125.90254,-2.2693399999999855,-0.017705443658936622,1.3697599999999994,1.0999192341165107
2008-12-01,124.86592,-1.0366199999999992,-0.00823351141287538,-0.027760000000000673,-0.022226905316586613
2009-01-01,125.18193,0.31600999999999146,0.002530794631553521,-0.14235000000000753,-0.11358533238731355
2009-02-01,125.63792,0.4559899999999999,0.0036426183874941048,0.010629999999991924,0.008461537298139539
2009-03-01,125.51388,-0.12403999999999371,-0.0009872815468450426,-0.5629100000000022,-0.4464818623634075
2009-04-01,125.64028,0.12640000000000384,0.0010070599363194242,-0.7282999999999902,-0.5763299706303499
2009-05-01,125.82516,0.1848799999999926,0.0014715026104684947,-1.2912000000000035,-1.0157622512161326
2009-06-01,126.86946,1.044300000000007,0.008299611937707903,-1.5788599999999917,-1.2291791749397671
2009-07-01,126.83166,-0.037800000000004275,-0.0002979440442168216,-2.5339600000000075,-1.9587584398389677
2009-08-01,127.25635,0.42468999999999824,0.0033484541635739706,-1.916719999999998,-1.4838386979577074
2009-09-01,127.50207,0.2457200000000057,0.0019309056090325216,-1.7814500000000066,-1.377940513995911
2009-10-01,127.88482,0.3827500000000015,0.0030019120473887325,-0.28705999999998255,-0.2239648821566654
2009-11-01,128.31305,0.4282299999999992,0.003348560055837739,2.410510000000002,1.9145840902018356
2009-12-01,128.3798,0.06674999999998477,0.000520212090664081,3.513879999999986,2.8141225404017254
2010-01-01,128.46308,0.08328000000000202,0.0006487001849200733,3.2811499999999967,2.6211051387368745
2010-02-01,128.34082,-0.12225999999998294,-0.0009517131303405068,2.702900000000014,2.151340932737516
2010-03-01,128.38334,0.042519999999996116,0.00033130534774513764,2.8694600000000037,2.286169465878996
2010-04-01,128.41288,0.029539999999997235,0.0002300921599328794,2.772599999999997,2.206776361848284
2010-05-01,128.34613,-0.06675000000001319,-0.0005198076703833228,2.5209699999999913,2.0035500054202124
2010-06-01,128.29238,-0.053749999999979536,-0.000418789409544172,1.4229200000000048,1.1215622735369133
2010-07-01,128.53219,0.23981000000000563,0.0018692458585615576,1.7005300000000148,1.3407772160358185
2010-08-01,128.72002,0.18782999999999106,0.0014613459865578501,1.4636700000000076,1.1501744313741573
2010-09-01,128.92794,0.20792000000000144,0.0016152887484013863,1.4258700000000033,1.1183112556525578
2010-10-01,129.37685,0.4489099999999837,0.003481867467982376,1.4920299999999855,1.1666982836586748
2010-11-01,129.70467,0.32782000000000266,0.0025338381634736253,1.391619999999989,1.084550636120012
2010-12-01,130.22563,0.5209600000000023,0.004016509197394376,1.8458300000000065,1.4377884994368324
2011-01-01,130.64796,0.4223300000000165,0.003243063596620854,2.184880000000021,1.7007843810066061
