DATE,CUSR0000SEHA_NBD20000101,Monthly Change,Monthly Percent Change,Yearly Change,Percent Yearly Change
2004-06-01,116.58375,0.33167999999999154,0.2853110486548683,3.095639999999989,2.7277218732429227
2004-07-01,116.86014,0.27639000000000635,0.23707420631091927,3.09563,2.7210858641240576
2004-08-01,117.19182,0.33168000000000575,0.2838264612724285,3.2061900000000065,2.812801929506383
2004-09-01,117.46821,0.27638999999999214,0.23584410584287552,3.2061899999999923,2.805998003536076
2004-10-01,117.63405,0.16584000000000287,0.14117862185863125,3.2614700000000028,2.8516188058361562
2004-11-01,117.79989,0.16584000000000287,0.140979588818036,3.1509100000000103,2.7483105388290503
2004-12-01,118.13156,0.33166999999998836,0.28155374338633793,3.316749999999999,2.888782379207002
2005-01-01,118.46324,0.33168000000000575,0.28077170910128146,3.4273100000000056,2.9793387161732907
2005-02-01,118.79491,0.3316700000000026,0.27997714734123647,3.4825799999999987,3.0201280296738418
2005-03-01,119.07131,0.2763999999999953,0.23266990142927446,3.482590000000002,3.0129151010583057
2005-04-01,119.40299,0.33168000000000575,0.27855576628829043,3.482590000000002,3.0042943261065367
2005-05-01,119.67938,0.27638999999999214,0.23147661545158305,3.4273099999999914,2.948171159446874
2005-06-01,119.95578,0.2764000000000095,0.23095039429516556,3.3720300000000094,2.8923670751712907
2005-07-01,120.34273,0.3869499999999988,0.32257720303264986,3.482590000000002,2.9801350571717626
2005-08-01,120.56385,0.2211199999999991,0.18374188453261703,3.372029999999995,2.877359529018318
2005-09-01,120.89552,0.3316700000000026,0.2750990450288396,3.4273100000000056,2.9176489537041603
2005-10-01,121.2272,0.33167999999999154,0.27435259801189615,3.5931499999999943,3.054515253024098
2005-11-01,121.55887,0.3316700000000026,0.27359371494186335,3.758979999999994,3.1909876995640607
2005-12-01,121.77999,0.2211199999999991,0.18190363237170526,3.6484300000000047,3.08844647442225
2006-01-01,122.05638,0.27639000000000635,0.22695846830009295,3.5931400000000053,3.0331265631431363
2006-02-01,122.44334,0.38696000000000197,0.31703381666734826,3.6484300000000047,3.0712006095210684
2006-03-01,122.83029,0.3869499999999988,0.31602372166587317,3.758980000000008,3.1569149612950493
2006-04-01,123.21725,0.38696000000000197,0.31503629927113413,3.8142600000000044,3.1944426182292456
2006-05-01,123.65948,0.442229999999995,0.35890266987779307,3.9801000000000073,3.325635543900719
2006-06-01,124.15699,0.49750999999999124,0.40232257162976204,4.201209999999989,3.5022989304892094
2006-07-01,124.59923,0.4422400000000124,0.3561942021951502,4.256500000000003,3.5369814196503624
2006-08-01,125.09674,0.49750999999999124,0.39928818179694303,4.532889999999995,3.759742244462162
2006-09-01,125.59425,0.49751000000000545,0.39770021185204785,4.698729999999998,3.8866039039329143
2006-10-01,126.03648,0.442229999999995,0.3521100687332382,4.809280000000001,3.9671624849868685
2006-11-01,126.47872,0.4422399999999982,0.3508825381349893,4.919849999999997,4.047298235003334
2006-12-01,127.03151,0.5527900000000017,0.4370616653931995,5.251519999999999,4.312301224527937
2007-01-01,127.44444,0.4129300000000029,0.325061081301799,5.388059999999996,4.414402590016183
2007-02-01,127.99668,0.5522399999999976,0.4333182365586114,5.5533399999999915,4.535436553756203
2007-03-01,128.44057,0.44389000000001033,0.34679805757462645,5.610280000000003,4.567505295314374
2007-04-01,128.77833,0.33776000000000295,0.2629698700340577,5.561080000000004,4.513231710657399
2007-05-01,129.16307,0.38473999999999364,0.2987614453456522,5.503590000000003,4.450600956756411
2007-06-01,129.50967,0.34659999999999513,0.2683429559238528,5.3526800000000065,4.311219207231109
2007-07-01,129.90381,0.39413999999999305,0.304332487296117,5.304579999999987,4.257313628663666
2007-08-01,130.19569,0.29188000000002035,0.22468932974330805,5.098950000000016,4.076005497825137
2007-09-01,130.59093,0.3952399999999727,0.3035737972585519,4.996679999999984,3.9784305412070884
2007-10-01,131.11111,0.5201800000000105,0.3983278164877228,5.074629999999999,4.026318411939146
2007-11-01,131.59923,0.4881200000000092,0.372294918409286,5.12051000000001,4.048515038735378
2007-12-01,132.04699,0.44775999999998817,0.3402451518903174,5.015479999999997,3.9482172572773457
2008-01-01,132.40299,0.35599999999999454,0.2696009958273146,4.958549999999988,3.8907542769225465
2008-02-01,132.71421,0.31122000000002004,0.23505511469191145,4.717530000000011,3.6856659094595354
2008-03-01,133.04588,0.3316700000000026,0.24991295204937178,4.605310000000003,3.585557117972929
2008-04-01,133.46434,0.41845999999998185,0.31452308030882414,4.686009999999982,3.6388187360404363
2008-05-01,133.73521,0.27087000000000216,0.20295308844295198,4.57213999999999,3.539819857177435
2008-06-01,134.26313,0.5279199999999946,0.39475019331109185,4.75345999999999,3.6703514108251447
2008-07-01,134.70149,0.4383600000000172,0.32649320777790386,4.797680000000014,3.6932558021200568
2008-08-01,135.14373,0.4422399999999982,0.32831114191832483,4.948039999999992,3.800463748070302
2008-09-01,135.53068,0.3869499999999846,0.2863247891707478,4.939750000000004,3.782613386703046
2008-10-01,135.93919,0.4085100000000068,0.3014151482158924,4.82808,3.682433929512152
2008-11-01,136.29409,0.35490000000001487,0.26107261636619644,4.694860000000006,3.5675436702783183
2008-12-01,136.5351,0.24100999999998862,0.17683085157983638,4.488110000000006,3.398873385906037
2009-01-01,136.85075,0.3156500000000051,0.23118597342368746,4.447760000000017,3.359259485001069
2009-02-01,137.089,0.23824999999999363,0.17409477112839616,4.37478999999999,3.2963990819068956
2009-03-01,137.31122,0.22221999999999298,0.1620990743239742,4.265339999999981,3.2059166356748365
2009-04-01,137.555,0.2437800000000152,0.1775382958508527,4.090660000000014,3.064983500461632
2009-05-01,137.75788,0.2028799999999933,0.14749009487113757,4.022670000000005,3.007936354233119
2009-06-01,137.85572,0.09783999999999082,0.07102316034479539,3.5925900000000013,2.6757829941846296
2009-07-01,137.83472,-0.020999999999986585,-0.015233317848535112,3.1332299999999975,2.326054448247007
2009-08-01,137.84356,0.008839999999992187,0.006413478403694067,2.6998299999999915,1.9977471392864408
2009-09-01,137.78939,-0.05416999999999916,-0.039298172508022255,2.2587100000000078,1.666567304170545
2009-10-01,137.62244,-0.16694999999998572,-0.12116317519076447,1.6832500000000152,1.2382374795671618
2009-11-01,137.52239,-0.10005000000001019,-0.07269889997591249,1.2282999999999902,0.9012129579499669
2009-12-01,137.46103,-0.06136000000000763,-0.044618189081797974,0.9259299999999939,0.6781626116654208
2010-01-01,137.49088,0.029850000000010368,0.02171524540446872,0.6401299999999992,0.4677577579954799
2010-02-01,137.48867,-0.0022099999999909414,-0.001607379340354023,0.3996700000000146,0.29154053206312297
2010-03-01,137.5644,0.07572999999999297,0.05508090230270826,0.2531800000000146,0.18438405834571614
2010-04-01,137.6241,0.059699999999992315,0.043397855840604335,0.06909999999999172,0.05023445167386989
2010-05-01,137.68159,0.05749000000000137,0.04177320687292514,-0.07629000000000019,-0.05537977210450697
2010-06-01,137.82587,0.14428000000000907,0.1047925143804695,-0.029849999999981947,-0.02165307322756136
2010-07-01,137.89829,0.07241999999999393,0.05254456220736639,0.06356999999999857,0.046120454991310296
2010-08-01,137.83637,-0.06192000000001485,-0.0449026597791857,-0.007190000000008467,-0.005216057971811282
2010-09-01,138.01161,0.17524000000000228,0.12713625583726726,0.22221999999999298,0.16127511704637998
2010-10-01,138.00995,-0.0016599999999868942,-0.0012027973588503854,0.3875099999999918,0.28157471993665556
2010-11-01,138.29851,0.2885599999999897,0.2090863738447769,0.7761199999999917,0.5643590109217791
2010-12-01,138.55224,0.25373000000001866,0.18346546177541512,1.091210000000018,0.7938322592228634
2011-01-01,138.82919,0.27694999999999936,0.19988850414832654,1.338310000000007,0.9733809253384712
2011-02-01,139.03593,0.20673999999999637,0.1489168092099337,1.5472599999999943,1.1253727307130064
2011-03-01,139.25097,0.21503999999998769,0.1546650567230986,1.686569999999989,1.226022139448861
2011-04-01,139.4157,0.1647299999999916,0.11829720108950882,1.7915999999999883,1.301806878301103
2011-05-01,139.62631,0.21061000000000263,0.15106619986128006,1.9447199999999896,1.4124764247710893
2011-06-01,139.84854,0.22223000000002457,0.15916054789389236,2.022670000000005,1.4675546760561025
2011-07-01,140.09011,0.24156999999999584,0.17273687662380732,2.191820000000007,1.5894468307039973
2011-08-01,140.57214,0.4820299999999804,0.34408567457044636,2.7357700000000023,1.9847954498511549
2011-09-01,140.90381,0.3316700000000026,0.2359429115897379,2.8922000000000025,2.0956207959605737
2011-10-01,141.32172,0.4179100000000062,0.2965924058405562,3.3117699999999957,2.3996603143468973
2011-11-01,141.62908,0.30735999999998853,0.217489569190064,3.3305699999999945,2.4082472038201965
2011-12-01,141.95688,0.32780000000002474,0.23144964296882023,3.4046400000000006,2.457296973329338
2012-01-01,142.21504,0.2581599999999753,0.1818580402724935,3.3858499999999765,2.4388603002005387
2012-02-01,142.53289,0.3178500000000213,0.2234995679781979,3.4969600000000014,2.5151484224257725
2012-03-01,142.80542,0.27252999999998906,0.1912049913532161,3.5544500000000028,2.55254954417912
2012-04-01,143.16031,0.3548900000000117,0.248512976608319,3.744610000000023,2.6859313549334995
2012-05-01,143.43892,0.27860999999998626,0.19461399601606494,3.8126100000000065,2.7305813639277634
2012-06-01,143.66667,0.22775000000001455,0.15877838455561052,3.8181299999999965,2.7301893891777462
2012-07-01,143.98894,0.32227000000000317,0.2243178602246458,3.898830000000004,2.7830872571946754
2012-08-01,144.27805,0.28910999999999376,0.20078625483317936,3.705910000000017,2.6363047471568817
2012-09-01,144.62134,0.3432899999999961,0.23793640127517396,3.7175300000000107,2.638345975172716
2012-10-01,145.18021,0.5588699999999847,0.3864367457803839,3.858489999999989,2.7302880264972638
2012-11-01,145.45992,0.2797100000000228,0.19266400014163282,3.8308400000000233,2.704839994724264
2012-12-01,145.75401,0.29408999999998287,0.202179404470993,3.7971299999999815,2.674847460721862
2013-01-01,146.07242,0.3184100000000001,0.21845711140297278,3.8573800000000062,2.712357286542975
2013-02-01,146.43671,0.3642900000000111,0.2493899943603393,3.903819999999996,2.7388906518348124
2013-03-01,146.82311,0.38640000000000896,0.2638682609026172,4.017690000000016,2.8134016201906173
2013-04-01,147.09453,0.2714199999999778,0.18486190627618346,3.934219999999982,2.7481220178972663
